(311, 838)
(311, 838)
(311, 838)
(311, 837)
(311, 836)
(311, 836)
(311, 835)
(311, 836)
(311, 835)
(311, 836)
(311, 836)
(311, 836)
(312, 836)
(314, 836)
(315, 836)
(315, 837)
(315, 837)
(314, 838)
(314, 838)
(314, 838)
(313, 838)
(313, 838)
(313, 838)
(313, 838)
(312, 838)
(311, 838)
(311, 838)
(311, 838)
(311, 838)
(311, 838)
(311, 837)
(306, 828)
(289, 814)
(273, 805)
(258, 801)
(241, 799)
(218, 797)
(199, 797)
(181, 796)
(172, 799)
(169, 801)
(170, 804)
(173, 806)
(176, 806)
(179, 807)
(183, 808)
(185, 809)
(187, 809)
(189, 809)
(190, 809)
(189, 809)
(187, 808)
(185, 807)
(184, 807)
(182, 806)
(183, 806)
(191, 808)
(210, 813)
