(311.0, 837.5)
(311.0, 838.5)
(311.0, 837.5)
(311.0, 836.5)
(311.0, 835.5)
(311.0, 836.5)
(311.0, 835.5)
(311.0, 836.5)
(311.0, 835.5)
(311.0, 836.5)
(311.0, 835.5)
(311.0, 836.5)
(313.0, 835.5)
(317.0, 836.5)
(315.0, 835.5)
(315.0, 838.5)
(313.0, 837.5)
(313.0, 838.5)
(313.0, 837.5)
(313.0, 838.5)
(313.0, 837.5)
(313.0, 838.5)
(313.0, 837.5)
(313.0, 838.5)
(311.0, 837.5)
(311.0, 838.5)
(311.0, 837.5)
(311.0, 838.5)
(311.0, 837.5)
(311.0, 838.5)
(311.0, 835.5)
(301.0, 816.5)
(269.0, 799.5)
(257.0, 800.5)
(247.0, 801.5)
(229.0, 804.5)
(201.0, 801.5)
(191.0, 802.5)
(175.0, 799.5)
(185.0, 806.5)
(187.0, 807.5)
(189.0, 808.5)
(191.0, 807.5)
(189.0, 806.5)
(189.0, 807.5)
(191.0, 808.5)
(189.0, 807.5)
(191.0, 808.5)
(191.0, 807.5)
(189.0, 808.5)
(187.0, 807.5)
(183.0, 806.5)
(183.0, 805.5)
(183.0, 806.5)
(181.0, 805.5)
(185.0, 806.5)
(203.0, 811.5)
(239.0, 820.5)
